reference_code,category,suggested_action,decision,target_current_code,result_code_type,note
SPG-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SPG-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SPG-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SPG-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SPG-06,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SPG-07,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SPG-08,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SPG-10,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SPG-11,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SPG-14,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SPG-16,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SPG-18,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SPG-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
STE,OTHER,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
STN-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
STN-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
STN-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
STN-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
