sheet,excel_row,item_id,legacy_id,result,detail
RECEIVE,81,GB00101,093cfa173,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,82,GB00102,093cfa174,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,83,GB00103,093cfa175,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,84,GB00104,093cfa176,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,85,GB00105,093cfa177,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,86,GB00106,093cfa178,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,87,GB00107,093cfa179,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,88,GB00108,093cfa180,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,89,GB00109,093cfa181,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,90,GMP00006,093cfa182,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,91,GMP00007,093cfa183,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,92,GMP00008,093cfa184,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,93,GMP00001,093cfa186,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,94,GMP00003,093cfa188,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,95,GMP00005,093cfa190,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,96,GB00030,093cfa191,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,97,GB00032,093cfa192,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,98,GB00034,093cfa193,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,99,GB00035,093cfa194,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,100,GB00036,093cfa195,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,101,GB00037,093cfa196,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,102,GB00038,093cfa197,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,103,GB00039,093cfa198,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,104,GB00040,093cfa199,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,105,GB00041,093cfa200,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,106,GB00042,093cfa201,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,107,GB00043,093cfa202,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,108,GB00044,093cfa203,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,109,GB00045,093cfa204,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,110,GB00046,093cfa205,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,111,GB00047,093cfa206,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,112,GB00048,093cfa207,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,113,GB00049,093cfa208,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,114,GB00050,093cfa209,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,115,GB00053,093cfa210,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,116,GB00054,093cfa211,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,117,GB00055,093cfa212,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,118,GB00056,093cfa213,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,119,GB00058,093cfa214,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,120,GB00060,093cfa215,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,121,GB00062,093cfa216,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,122,GB00063,093cfa217,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,123,GB00065,093cfa219,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,124,GB00066,093cfa220,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,125,GB00067,093cfa221,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,126,GB00068,093cfa222,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,127,GB00069,093cfa223,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,128,GB00070,093cfa224,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,129,GB00071,093cfa225,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,130,GB00073,093cfa226,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,131,GCPP00001,093cfa227,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,132,GCPP00002,093cfa228,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,133,GCPP00003,093cfa229,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,134,GPP00001,093cfa343,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,135,GPP00002,093cfa344,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,136,GPP00003,093cfa345,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,137,GPP00004,093cfa346,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,138,GPP00006,093cfa347,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
